content,score,at,cleaning,case_folding,normalisasi,Performa_Aplikasi,Pemesanan_Tiket,Operasional_Perjalanan,Layanan_Akun,_key,Sentimen
good,5,2026-07-11 09:35:40,good,good,good,0,0,0,0,good||good,positif
pusing,1,2026-07-11 09:16:37,pusing,pusing,pusing,0,0,0,0,pusing||pusing,negatif
jos,5,2026-07-11 08:09:57,jos,jos,jos,0,0,0,0,jos||jos,netral
aplikasi mudah di gunakan sangat membantu. mantap 👍👍👍,5,2026-07-11 07:36:32,aplikasi mudah di gunakan sangat membantu mantap,aplikasi mudah di gunakan sangat membantu mantap,aplikasi mudah di gunakan sangat membantu mantap,0,0,0,0,aplikasi mudah di gunakan sangat membantu. mantap 👍👍👍||aplikasi mudah di gunakan sangat membantu mantap,positif
mantap,5,2026-07-11 06:16:30,mantap,mantap,mantap,0,0,0,0,mantap||mantap,positif
sangat membantu,5,2026-07-11 05:11:21,sangat membantu,sangat membantu,sangat membantu,0,0,0,0,sangat membantu||sangat membantu,positif
baik pelayanannya,5,2026-07-11 03:17:56,baik pelayanannya,baik pelayanannya,baik pelayanannya,0,0,0,0,baik pelayanannya||baik pelayanannya,positif
bagsu,5,2026-07-11 03:02:17,bagsu,bagsu,bagsu,0,0,0,0,bagsu||bagsu,positif
bagus sekali,5,2026-07-11 01:34:19,bagus sekali,bagus sekali,bagus sekali,0,0,0,0,bagus sekali||bagus sekali,positif
respon cepat,5,2026-07-11 01:23:02,respon cepat,respon cepat,respon cepat,0,0,0,0,respon cepat||respon cepat,positif
"Access by KAI delivers a convenient and efficient railway booking experience. The application features an intuitive design, secure transactions, real-time travel information, and a smooth ticket management system, making train travel more accessible and enjoyable.",5,2026-07-11 00:50:00,Access by KAI delivers a convenient and efficient railway booking experience The application features an intuitive design secure transactions real time travel information and a smooth ticket management system making train travel more accessible and enjoyable,access by kai delivers a convenient and efficient railway booking experience the application features an intuitive design secure transactions real time travel information and a smooth ticket management system making train travel more accessible and enjoyable,access by kai delivers a convenient and efficient railway booking experience the application features an intuitive design secure transactions real time travel information and a smooth ticket management system making train travel more accessible and enjoyable,0,1,0,0,"Access by KAI delivers a convenient and efficient railway booking experience. The application features an intuitive design, secure transactions, real-time travel information, and a smooth ticket management system, making train travel more accessible and enjoyable.||access by kai delivers a convenient and efficient railway booking experience the application features an intuitive design secure transactions real time travel information and a smooth ticket management system making train travel more accessible and enjoyable",positif
GoodJob,5,2026-07-11 00:00:24,GoodJob,goodjob,goodjob,0,0,0,0,GoodJob||goodjob,positif
bagus,4,2026-07-10 22:41:30,bagus,bagus,bagus,0,0,0,0,bagus||bagus,positif
mantap,4,2026-07-10 20:27:49,mantap,mantap,mantap,0,0,0,0,mantap||mantap,positif
keren,5,2026-07-10 18:50:33,keren,keren,keren,0,0,0,0,keren||keren,netral
pelayanan apkikasi sangat maksimal,5,2026-07-10 18:38:37,pelayanan apkikasi sangat maksimal,pelayanan apkikasi sangat maksimal,pelayanan apkikasi sangat maksimal,0,0,0,0,pelayanan apkikasi sangat maksimal||pelayanan apkikasi sangat maksimal,positif
mudah digunakan dan nyaman memilih tiket kapapun,5,2026-07-10 18:36:52,mudah digunakan dan nyaman memilih tiket kapapun,mudah digunakan dan nyaman memilih tiket kapapun,mudah digunakan dan nyaman memilih tiket kapapun,0,1,0,0,mudah digunakan dan nyaman memilih tiket kapapun||mudah digunakan dan nyaman memilih tiket kapapun,positif
kenapa dinakun saya tidak ada tiket yg tersedia sayaudah coba brpa akun tapi hasil nya tetap sama gmna dong?,3,2026-07-10 17:10:46,kenapa dinakun saya tidak ada tiket yg tersedia sayaudah coba brpa akun tapi hasil nya tetap sama gmna dong,kenapa dinakun saya tidak ada tiket yg tersedia sayaudah coba brpa akun tapi hasil nya tetap sama gmna dong,kenapa dinakun saya tidak ada tiket yang tersedia sayaudah coba brpa akun tapi hasil nya tetap sama gmna dong,0,1,0,1,kenapa dinakun saya tidak ada tiket yg tersedia sayaudah coba brpa akun tapi hasil nya tetap sama gmna dong?||kenapa dinakun saya tidak ada tiket yang tersedia sayaudah coba brpa akun tapi hasil nya tetap sama gmna dong,negatif
joss jiss,5,2026-07-10 17:03:21,joss jiss,joss jiss,joss jiss,0,0,0,0,joss jiss||joss jiss,positif
Cara cepat beli tiket kereta api,5,2026-07-10 15:14:41,Cara cepat beli tiket kereta api,cara cepat beli tiket kereta api,cara cepat beli tiket kereta api,0,1,1,0,Cara cepat beli tiket kereta api||cara cepat beli tiket kereta api,netral
Top of the top,5,2026-07-10 14:41:22,Top of the top,top of the top,top of the top,0,0,0,0,Top of the top||top of the top,positif
kenapa jadwal kereta hilang semua?,3,2026-07-10 11:57:10,kenapa jadwal kereta hilang semua,kenapa jadwal kereta hilang semua,kenapa jadwal kereta hilang semua,0,0,1,0,kenapa jadwal kereta hilang semua?||kenapa jadwal kereta hilang semua,negatif
Intuitif,5,2026-07-10 11:55:45,Intuitif,intuitif,intuitif,0,0,0,0,Intuitif||intuitif,positif
Perlu ditambah gerbong ekonomi dan jumlah promonya,5,2026-07-10 11:30:10,Perlu ditambah gerbong ekonomi dan jumlah promonya,perlu ditambah gerbong ekonomi dan jumlah promonya,perlu ditambah gerbong ekonomi dan jumlah promonya,0,0,0,0,Perlu ditambah gerbong ekonomi dan jumlah promonya||perlu ditambah gerbong ekonomi dan jumlah promonya,negatif
sangat mudah digunakan dan sangat recomended,5,2026-07-10 10:50:39,sangat mudah digunakan dan sangat recomended,sangat mudah digunakan dan sangat recomended,sangat mudah digunakan dan sangat recomended,0,0,0,0,sangat mudah digunakan dan sangat recomended||sangat mudah digunakan dan sangat recomended,positif
"aplikasi yng seharusnya bisa memudahkan pesen tiket, malah selalu terkendala saat mau daftar login. pdhl saya belum pernah menyantumkan no hp saya, tapi di apknya nomor sudah di daftarkan. ANEH",1,2026-07-10 09:38:25,aplikasi yng seharusnya bisa memudahkan pesen tiket malah selalu terkendala saat mau daftar login pdhl saya belum pernah menyantumkan no hp saya tapi di apknya nomor sudah di daftarkan ANEH,aplikasi yng seharusnya bisa memudahkan pesen tiket malah selalu terkendala saat mau daftar login pdhl saya belum pernah menyantumkan no hp saya tapi di apknya nomor sudah di daftarkan aneh,aplikasi yng seharusnya bisa memudahkan pesen tiket malah selalu terkendala saat mau daftar login pdhl saya belum pernah menyantumkan no hp saya tapi di apknya nomor sudah di daftarkan aneh,0,1,0,1,"aplikasi yng seharusnya bisa memudahkan pesen tiket, malah selalu terkendala saat mau daftar login. pdhl saya belum pernah menyantumkan no hp saya, tapi di apknya nomor sudah di daftarkan. ANEH||aplikasi yng seharusnya bisa memudahkan pesen tiket malah selalu terkendala saat mau daftar login pdhl saya belum pernah menyantumkan no hp saya tapi di apknya nomor sudah di daftarkan aneh",negatif
mantaf sih permudah pelayanan,5,2026-07-10 08:55:21,mantaf sih permudah pelayanan,mantaf sih permudah pelayanan,mantaf sih permudah pelayanan,0,0,0,0,mantaf sih permudah pelayanan||mantaf sih permudah pelayanan,positif
bgus,5,2026-07-10 08:41:49,bgus,bgus,bgus,0,0,0,0,bgus||bgus,positif
bugnya banyak,1,2026-07-10 08:17:37,bugnya banyak,bugnya banyak,bugnya banyak,1,0,0,0,bugnya banyak||bugnya banyak,negatif
"In my opinion, this app is very helpful for people who have no sense of direction, like me.",5,2026-07-10 07:05:30,In my opinion this app is very helpful for people who have no sense of direction like me,in my opinion this app is very helpful for people who have no sense of direction like me,in my opinion this app is very helpful for people who have no sense of direction like me,0,0,0,0,"In my opinion, this app is very helpful for people who have no sense of direction, like me.||in my opinion this app is very helpful for people who have no sense of direction like me",positif
Sistem bagus dan informatif,5,2026-07-10 06:50:54,Sistem bagus dan informatif,sistem bagus dan informatif,sistem bagus dan informatif,0,0,0,0,Sistem bagus dan informatif||sistem bagus dan informatif,positif
oke,5,2026-07-10 06:44:19,oke,oke,oke,0,0,0,0,oke||oke,netral
Good,5,2026-07-10 05:27:36,Good,good,good,0,0,0,0,Good||good,positif
sangat mudah,3,2026-07-10 05:05:22,sangat mudah,sangat mudah,sangat mudah,0,0,0,0,sangat mudah||sangat mudah,positif
Bagus layanannya,5,2026-07-10 02:57:19,Bagus layanannya,bagus layanannya,bagus layanannya,0,0,0,0,Bagus layanannya||bagus layanannya,positif
"gara gara aku lupa pw... sekarang gak bisa dipake, bikin akun baru lagi juga gak bisa... karna KTP nya masih ke akun lama.",2,2026-07-10 02:51:35,gara gara aku lupa pw sekarang gak bisa dipake bikin akun baru lagi juga gak bisa karna KTP nya masih ke akun lama,gara gara aku lupa pw sekarang gak bisa dipake bikin akun baru lagi juga gak bisa karna ktp nya masih ke akun lama,gara gara aku lupa pw sekarang tidak bisa dipake bikin akun baru lagi juga tidak bisa karna ktp nya masih ke akun lama,1,0,0,1,"gara gara aku lupa pw... sekarang gak bisa dipake, bikin akun baru lagi juga gak bisa... karna KTP nya masih ke akun lama.||gara gara aku lupa pw sekarang tidak bisa dipake bikin akun baru lagi juga tidak bisa karna ktp nya masih ke akun lama",negatif
puas,5,2026-07-10 01:33:52,puas,puas,puas,0,0,0,0,puas||puas,positif
top,5,2026-07-10 01:27:45,top,top,top,0,0,0,0,top||top,netral
tolong di perbaikin lah.ni. tiao mau bayar. pasti eror ganguaan ... udah mah kalo isi saldo potonganya jgn 3rebu lah Tj aja cuma 1500.,4,2026-07-10 01:14:51,tolong di perbaikin lah ni tiao mau bayar pasti eror ganguaan udah mah kalo isi saldo potonganya jgn rebu lah Tj aja cuma,tolong di perbaikin lah ni tiao mau bayar pasti eror ganguaan udah mah kalo isi saldo potonganya jgn rebu lah tj aja cuma,tolong di perbaikin lah ni tiao mau bayar pasti eror ganguaan sudah mah kalo isi saldo potonganya jgn rebu lah tj saja cuma,1,1,0,1,tolong di perbaikin lah.ni. tiao mau bayar. pasti eror ganguaan ... udah mah kalo isi saldo potonganya jgn 3rebu lah Tj aja cuma 1500.||tolong di perbaikin lah ni tiao mau bayar pasti eror ganguaan sudah mah kalo isi saldo potonganya jgn rebu lah tj saja cuma,negatif
SUKSES KAI,5,2026-07-10 00:34:08,SUKSES KAI,sukses kai,sukses kai,0,0,0,0,SUKSES KAI||sukses kai,positif
mohon PT.KAI tambah gerbong aja yang jurusan ke Garut. banyak lansia yg gk kebagian kursi. apalagi kalo musim liburan,1,2026-07-10 00:28:51,mohon PT KAI tambah gerbong aja yang jurusan ke Garut banyak lansia yg gk kebagian kursi apalagi kalo musim liburan,mohon pt kai tambah gerbong aja yang jurusan ke garut banyak lansia yg gk kebagian kursi apalagi kalo musim liburan,mohon pt kai tambah gerbong saja yang jurusan ke garut banyak lansia yang tidak kebagian kursi apalagi kalo musim liburan,1,1,0,0,mohon PT.KAI tambah gerbong aja yang jurusan ke Garut. banyak lansia yg gk kebagian kursi. apalagi kalo musim liburan||mohon pt kai tambah gerbong saja yang jurusan ke garut banyak lansia yang tidak kebagian kursi apalagi kalo musim liburan,negatif
keren nih aplikasi pesen tiket oke...pas pesen makanan juga cepet..fast respon...kru restonya..pokoknya the Best dech..proses refund pembatalan tiket sangat baik..puas menjadi pelanggan KAI..terima kasih untuk semua team..salam,5,2026-07-09 23:25:46,keren nih aplikasi pesen tiket oke pas pesen makanan juga cepet fast respon kru restonya pokoknya the Best dech proses refund pembatalan tiket sangat baik puas menjadi pelanggan KAI terima kasih untuk semua team salam,keren nih aplikasi pesen tiket oke pas pesen makanan juga cepet fast respon kru restonya pokoknya the best dech proses refund pembatalan tiket sangat baik puas menjadi pelanggan kai terima kasih untuk semua team salam,keren nih aplikasi pesen tiket oke pas pesen makanan juga cepet fast respon kru restonya pokoknya the best dech proses refund pembatalan tiket sangat baik puas menjadi pelanggan kai terima kasih untuk semua team salam,0,1,0,0,keren nih aplikasi pesen tiket oke...pas pesen makanan juga cepet..fast respon...kru restonya..pokoknya the Best dech..proses refund pembatalan tiket sangat baik..puas menjadi pelanggan KAI..terima kasih untuk semua team..salam||keren nih aplikasi pesen tiket oke pas pesen makanan juga cepet fast respon kru restonya pokoknya the best dech proses refund pembatalan tiket sangat baik puas menjadi pelanggan kai terima kasih untuk semua team salam,positif
cukup bagus,5,2026-07-09 22:56:15,cukup bagus,cukup bagus,cukup bagus,0,0,0,0,cukup bagus||cukup bagus,positif
bagus,5,2026-07-09 22:41:43,bagus,bagus,bagus,0,0,0,0,bagus||bagus,positif
mudah digunakan,5,2026-07-09 16:43:02,mudah digunakan,mudah digunakan,mudah digunakan,0,0,0,0,mudah digunakan||mudah digunakan,positif
selalu pesen tiket kreta di online ..suka sekali c,5,2026-07-09 15:31:37,selalu pesen tiket kreta di online suka sekali c,selalu pesen tiket kreta di online suka sekali c,selalu pesen tiket kreta di online suka sekali c,0,1,0,0,selalu pesen tiket kreta di online ..suka sekali c||selalu pesen tiket kreta di online suka sekali c,netral
"baru mau daftar, liat email aja, harus di ulang lagi",1,2026-07-09 14:13:31,baru mau daftar liat email aja harus di ulang lagi,baru mau daftar liat email aja harus di ulang lagi,baru mau daftar liat email saja harus di ulang lagi,1,0,0,1,"baru mau daftar, liat email aja, harus di ulang lagi||baru mau daftar liat email saja harus di ulang lagi",negatif
"Loadingnya lama, Update lah",4,2026-07-09 13:30:09,Loadingnya lama Update lah,loadingnya lama update lah,loadingnya lama update lah,1,0,0,0,"Loadingnya lama, Update lah||loadingnya lama update lah",negatif
"Aplikasinya sangat baik dan sangat membantu. Tapi satu jam stelah penjualan tiket dibuka (khususnya Kuala Stabas) langsung habis. Nah, kemudian muncul notifikasi yang mengatakan bahwa tiket untuk tujuan yang kita pesan masih tersedia. Entah apa maksudnya ini.",5,2026-07-09 13:08:54,Aplikasinya sangat baik dan sangat membantu Tapi satu jam stelah penjualan tiket dibuka khususnya Kuala Stabas langsung habis Nah kemudian muncul notifikasi yang mengatakan bahwa tiket untuk tujuan yang kita pesan masih tersedia Entah apa maksudnya ini,aplikasinya sangat baik dan sangat membantu tapi satu jam stelah penjualan tiket dibuka khususnya kuala stabas langsung habis nah kemudian muncul notifikasi yang mengatakan bahwa tiket untuk tujuan yang kita pesan masih tersedia entah apa maksudnya ini,aplikasinya sangat baik dan sangat membantu tapi satu jam stelah penjualan tiket dibuka khususnya kuala stabas langsung habis nah kemudian muncul notifikasi yang mengatakan bahwa tiket untuk tujuan yang kita pesan masih tersedia entah apa maksudnya ini,0,1,0,0,"Aplikasinya sangat baik dan sangat membantu. Tapi satu jam stelah penjualan tiket dibuka (khususnya Kuala Stabas) langsung habis. Nah, kemudian muncul notifikasi yang mengatakan bahwa tiket untuk tujuan yang kita pesan masih tersedia. Entah apa maksudnya ini.||aplikasinya sangat baik dan sangat membantu tapi satu jam stelah penjualan tiket dibuka khususnya kuala stabas langsung habis nah kemudian muncul notifikasi yang mengatakan bahwa tiket untuk tujuan yang kita pesan masih tersedia entah apa maksudnya ini",positif
Good,5,2026-07-09 12:58:03,Good,good,good,0,0,0,0,Good||good,positif
"buseh parah amat KAI smpe segitunya , Topup saldo aja masih di potong .. parah!",1,2026-07-09 12:33:39,buseh parah amat KAI smpe segitunya Topup saldo aja masih di potong parah,buseh parah amat kai smpe segitunya topup saldo aja masih di potong parah,buseh parah amat kai smpe segitunya topup saldo saja masih di potong parah,0,0,0,1,"buseh parah amat KAI smpe segitunya , Topup saldo aja masih di potong .. parah!||buseh parah amat kai smpe segitunya topup saldo saja masih di potong parah",negatif
good,5,2026-07-09 12:00:00,good,good,good,0,0,0,0,good||good,positif
sangat fleksibel untuk refund dan reschedule,5,2026-07-09 11:11:23,sangat fleksibel untuk refund dan reschedule,sangat fleksibel untuk refund dan reschedule,sangat fleksibel untuk refund dan reschedule,0,1,0,0,sangat fleksibel untuk refund dan reschedule||sangat fleksibel untuk refund dan reschedule,positif
membantu diriku dalam perjalanan,5,2026-07-09 11:07:20,membantu diriku dalam perjalanan,membantu diriku dalam perjalanan,membantu diriku dalam perjalanan,0,0,1,0,membantu diriku dalam perjalanan||membantu diriku dalam perjalanan,positif
mudah dan sangat membantu,5,2026-07-09 09:23:19,mudah dan sangat membantu,mudah dan sangat membantu,mudah dan sangat membantu,0,0,0,0,mudah dan sangat membantu||mudah dan sangat membantu,positif
bagus sangat nyaman dngn Aplikasi ini🥰,5,2026-07-09 09:04:39,bagus sangat nyaman dngn Aplikasi ini,bagus sangat nyaman dngn aplikasi ini,bagus sangat nyaman dngn aplikasi ini,0,0,0,0,bagus sangat nyaman dngn Aplikasi ini🥰||bagus sangat nyaman dngn aplikasi ini,positif
keren,5,2026-07-09 08:53:29,keren,keren,keren,0,0,0,0,keren||keren,netral
aplikasi nya sangat membantu dan mempermudah.,5,2026-07-09 08:30:32,aplikasi nya sangat membantu dan mempermudah,aplikasi nya sangat membantu dan mempermudah,aplikasi nya sangat membantu dan mempermudah,0,0,0,0,aplikasi nya sangat membantu dan mempermudah.||aplikasi nya sangat membantu dan mempermudah,positif
suka error males banget,1,2026-07-09 08:13:54,suka error males banget,suka error males banget,suka error males banget,1,0,0,0,suka error males banget||suka error males banget,negatif
ok,5,2026-07-09 08:08:01,ok,ok,ok,0,0,0,0,ok||ok,netral
udah isi saldo kmt tapi gak masuk malah keluar aplikasi dan masalah jaringan terus tapi klo isi sama cek riwayat bisa bagaimana ini solusinya,3,2026-07-09 06:39:51,udah isi saldo kmt tapi gak masuk malah keluar aplikasi dan masalah jaringan terus tapi klo isi sama cek riwayat bisa bagaimana ini solusinya,udah isi saldo kmt tapi gak masuk malah keluar aplikasi dan masalah jaringan terus tapi klo isi sama cek riwayat bisa bagaimana ini solusinya,sudah isi saldo kmt tapi tidak masuk malah keluar aplikasi dan masalah jaringan terus tapi klo isi sama cek riwayat bisa bagaimana ini solusinya,0,0,0,1,udah isi saldo kmt tapi gak masuk malah keluar aplikasi dan masalah jaringan terus tapi klo isi sama cek riwayat bisa bagaimana ini solusinya||sudah isi saldo kmt tapi tidak masuk malah keluar aplikasi dan masalah jaringan terus tapi klo isi sama cek riwayat bisa bagaimana ini solusinya,negatif
sippjos,5,2026-07-09 06:39:49,sippjos,sippjos,sippjos,0,0,0,0,sippjos||sippjos,positif
"Pembaruan aplikasinya mantap banget, aplikasinya jadi makin responsif dan modern. Beli tiket kereta api antarkota, KRL, sampai LRT jadi super praktis dalam satu aplikasi. Fitur E-Boarding Pass nya sangat memudahkan, gak perlu antre cetak tiket lagi di stasiun. Fitur Connecting Train dan pembatalan/reschedule tiket secara online juga sangat membantu",5,2026-07-09 05:25:31,Pembaruan aplikasinya mantap banget aplikasinya jadi makin responsif dan modern Beli tiket kereta api antarkota KRL sampai LRT jadi super praktis dalam satu aplikasi Fitur E Boarding Pass nya sangat memudahkan gak perlu antre cetak tiket lagi di stasiun Fitur Connecting Train dan pembatalan reschedule tiket secara online juga sangat membantu,pembaruan aplikasinya mantap banget aplikasinya jadi makin responsif dan modern beli tiket kereta api antarkota krl sampai lrt jadi super praktis dalam satu aplikasi fitur e boarding pass nya sangat memudahkan gak perlu antre cetak tiket lagi di stasiun fitur connecting train dan pembatalan reschedule tiket secara online juga sangat membantu,pembaruan aplikasinya mantap banget aplikasinya jadi makin responsif dan modern beli tiket kereta api antarkota krl sampai lrt jadi super praktis dalam satu aplikasi fitur e boarding pass nya sangat memudahkan tidak perlu antre cetak tiket lagi di stasiun fitur connecting train dan pembatalan reschedule tiket secara online juga sangat membantu,1,1,1,0,"Pembaruan aplikasinya mantap banget, aplikasinya jadi makin responsif dan modern. Beli tiket kereta api antarkota, KRL, sampai LRT jadi super praktis dalam satu aplikasi. Fitur E-Boarding Pass nya sangat memudahkan, gak perlu antre cetak tiket lagi di stasiun. Fitur Connecting Train dan pembatalan/reschedule tiket secara online juga sangat membantu||pembaruan aplikasinya mantap banget aplikasinya jadi makin responsif dan modern beli tiket kereta api antarkota krl sampai lrt jadi super praktis dalam satu aplikasi fitur e boarding pass nya sangat memudahkan tidak perlu antre cetak tiket lagi di stasiun fitur connecting train dan pembatalan reschedule tiket secara online juga sangat membantu",positif
"Aplikasi paling payah, pas mau bayar pake qris diklik kode qris gak bisa kebuka error mau cancel booking gak bisa tolong perbaiki lagi benar2 buruk",1,2026-07-09 05:16:10,Aplikasi paling payah pas mau bayar pake qris diklik kode qris gak bisa kebuka error mau cancel booking gak bisa tolong perbaiki lagi benar buruk,aplikasi paling payah pas mau bayar pake qris diklik kode qris gak bisa kebuka error mau cancel booking gak bisa tolong perbaiki lagi benar buruk,aplikasi paling payah pas mau bayar pake qris diklik kode qris tidak bisa kebuka error mau cancel booking tidak bisa tolong perbaiki lagi benar buruk,1,1,0,0,"Aplikasi paling payah, pas mau bayar pake qris diklik kode qris gak bisa kebuka error mau cancel booking gak bisa tolong perbaiki lagi benar2 buruk||aplikasi paling payah pas mau bayar pake qris diklik kode qris tidak bisa kebuka error mau cancel booking tidak bisa tolong perbaiki lagi benar buruk",negatif
Good,5,2026-07-09 04:52:53,Good,good,good,0,0,0,0,Good||good,positif
siap Ok,5,2026-07-09 04:49:01,siap Ok,siap ok,siap ok,0,0,0,0,siap Ok||siap ok,netral
keren layanannya memudahkan dan profesional,5,2026-07-09 02:40:20,keren layanannya memudahkan dan profesional,keren layanannya memudahkan dan profesional,keren layanannya memudahkan dan profesional,0,0,0,0,keren layanannya memudahkan dan profesional||keren layanannya memudahkan dan profesional,positif
good,4,2026-07-09 02:28:29,good,good,good,0,0,0,0,good||good,positif
bagus,5,2026-07-09 01:50:54,bagus,bagus,bagus,0,0,0,0,bagus||bagus,positif
bagus,4,2026-07-09 01:22:18,bagus,bagus,bagus,0,0,0,0,bagus||bagus,positif
mudah banget di gunakan,5,2026-07-09 01:19:43,mudah banget di gunakan,mudah banget di gunakan,mudah banget di gunakan,0,0,0,0,mudah banget di gunakan||mudah banget di gunakan,positif
bagus tapi harus war tiket jurusan kertapati tanjung karang atau sebaliknya maupun tiket Baturaja tanjung karang atau sebaliknya,5,2026-07-09 01:01:26,bagus tapi harus war tiket jurusan kertapati tanjung karang atau sebaliknya maupun tiket Baturaja tanjung karang atau sebaliknya,bagus tapi harus war tiket jurusan kertapati tanjung karang atau sebaliknya maupun tiket baturaja tanjung karang atau sebaliknya,bagus tapi harus war tiket jurusan kertapati tanjung karang atau sebaliknya maupun tiket baturaja tanjung karang atau sebaliknya,0,1,0,0,bagus tapi harus war tiket jurusan kertapati tanjung karang atau sebaliknya maupun tiket Baturaja tanjung karang atau sebaliknya||bagus tapi harus war tiket jurusan kertapati tanjung karang atau sebaliknya maupun tiket baturaja tanjung karang atau sebaliknya,positif
okay,5,2026-07-09 00:47:31,okay,okay,okay,0,0,0,0,okay||okay,netral
waktu pembayaran selalu gagal tolonglah di perbaiki...beli di stasiun jg gak bisa padahal masih ada kursi aplikasi receh kah ini server kecil,1,2026-07-09 00:10:39,waktu pembayaran selalu gagal tolonglah di perbaiki beli di stasiun jg gak bisa padahal masih ada kursi aplikasi receh kah ini server kecil,waktu pembayaran selalu gagal tolonglah di perbaiki beli di stasiun jg gak bisa padahal masih ada kursi aplikasi receh kah ini server kecil,waktu pembayaran selalu gagal tolonglah di perbaiki beli di stasiun jg tidak bisa padahal masih ada kursi aplikasi receh kah ini server kecil,1,1,1,0,waktu pembayaran selalu gagal tolonglah di perbaiki...beli di stasiun jg gak bisa padahal masih ada kursi aplikasi receh kah ini server kecil||waktu pembayaran selalu gagal tolonglah di perbaiki beli di stasiun jg tidak bisa padahal masih ada kursi aplikasi receh kah ini server kecil,negatif
good,5,2026-07-08 23:17:10,good,good,good,0,0,0,0,good||good,positif
kenapa min ga bisa bayar pake m bengking BRI??,1,2026-07-08 23:10:57,kenapa min ga bisa bayar pake m bengking BRI,kenapa min ga bisa bayar pake m bengking bri,kenapa min tidak bisa bayar pake m bengking bri,1,1,0,0,kenapa min ga bisa bayar pake m bengking BRI??||kenapa min tidak bisa bayar pake m bengking bri,negatif
jadwal kreta dari jakarta kota tujuan bogor jam nya tidak jelas dan tidak aktual untuk jam pagi.,1,2026-07-08 23:03:53,jadwal kreta dari jakarta kota tujuan bogor jam nya tidak jelas dan tidak aktual untuk jam pagi,jadwal kreta dari jakarta kota tujuan bogor jam nya tidak jelas dan tidak aktual untuk jam pagi,jadwal kreta dari jakarta kota tujuan bogor jam nya tidak jelas dan tidak aktual untuk jam pagi,0,0,1,0,jadwal kreta dari jakarta kota tujuan bogor jam nya tidak jelas dan tidak aktual untuk jam pagi.||jadwal kreta dari jakarta kota tujuan bogor jam nya tidak jelas dan tidak aktual untuk jam pagi,negatif
proses mudah.,5,2026-07-08 22:24:15,proses mudah,proses mudah,proses mudah,0,0,0,0,proses mudah.||proses mudah,netral
terbaik,5,2026-07-08 17:06:47,terbaik,terbaik,terbaik,0,0,0,0,terbaik||terbaik,positif
oke,5,2026-07-08 15:29:36,oke,oke,oke,0,0,0,0,oke||oke,netral
simple.,5,2026-07-08 15:04:08,simple,simple,simple,0,0,0,0,simple.||simple,netral
"Access KAI Emang Banyak Kelebihan Nya. Kekurangan Nya Itu Yg Bikin DONGKOL. kenapa Di aplikasi Access Kereta Kahuripan Ko Mahal Banget...?? Sedangkan Di Alfa, Indomaret, Aplikasi Tiket KAI Harga Kereta Kahuripan Murah Banget. Menurut Sy Aplikasi AccesKAI Hanya Untuk Orang2 Kaya Ajah Tidak Bersahabat Dengan Orang Orang Kecil",1,2026-07-08 13:11:10,Access KAI Emang Banyak Kelebihan Nya Kekurangan Nya Itu Yg Bikin DONGKOL kenapa Di aplikasi Access Kereta Kahuripan Ko Mahal Banget Sedangkan Di Alfa Indomaret Aplikasi Tiket KAI Harga Kereta Kahuripan Murah Banget Menurut Sy Aplikasi AccesKAI Hanya Untuk Orang Kaya Ajah Tidak Bersahabat Dengan Orang Orang Kecil,access kai emang banyak kelebihan nya kekurangan nya itu yg bikin dongkol kenapa di aplikasi access kereta kahuripan ko mahal banget sedangkan di alfa indomaret aplikasi tiket kai harga kereta kahuripan murah banget menurut sy aplikasi acceskai hanya untuk orang kaya ajah tidak bersahabat dengan orang orang kecil,access kai emang banyak kelebihan nya kekurangan nya itu yang bikin dongkol kenapa di aplikasi access kereta kahuripan ko mahal banget sedangkan di alfa indomaret aplikasi tiket kai harga kereta kahuripan murah banget menurut sy aplikasi acceskai hanya untuk orang kaya ajah tidak bersahabat dengan orang orang kecil,0,1,1,0,"Access KAI Emang Banyak Kelebihan Nya. Kekurangan Nya Itu Yg Bikin DONGKOL. kenapa Di aplikasi Access Kereta Kahuripan Ko Mahal Banget...?? Sedangkan Di Alfa, Indomaret, Aplikasi Tiket KAI Harga Kereta Kahuripan Murah Banget. Menurut Sy Aplikasi AccesKAI Hanya Untuk Orang2 Kaya Ajah Tidak Bersahabat Dengan Orang Orang Kecil||access kai emang banyak kelebihan nya kekurangan nya itu yang bikin dongkol kenapa di aplikasi access kereta kahuripan ko mahal banget sedangkan di alfa indomaret aplikasi tiket kai harga kereta kahuripan murah banget menurut sy aplikasi acceskai hanya untuk orang kaya ajah tidak bersahabat dengan orang orang kecil",negatif
